07	6	3	1	2
07	8	3	1	1
07	7	2	2	1
08	6	2	2	2
08	8	5	2	1
08	7	4	1	1
09	6	2	2	2
09	8	4	2	1
09	7	4	1	1
10	6	4	1	1
10	8	5	2	1
10	7	4	1	1
11	6	3	1	1
11	8	3	2	2
11	7	4	1	1
13	6	3	2	1
13	8	4	1	1
13	7	4	1	1
17	6	3	1	1
17	8	3	2	1
17	7	4	1	1
18	6	3	2	1
18	8	5	2	1
18	7	3	1	1
19	6	4	2	1
19	8	3	1	1
19	7	2	1	1
20	6	4	1	1
20	8	3	1	1
20	7	2	1	2
21	6	3	2	1
21	8	3	1	1
21	7	3	1	1
22	6	3	1	1
22	8	3	2	2
22	7	2	1	2
24	6	1	2	2
24	9	1	2	2
24	7	1	1	2
25	6	3	2	1
25	9	2	1	2
25	7	2	1	2
27	6	2	2	1
27	9	3	1	1
27	7	2	1	1
29	6	2	2	2
29	9	2	1	1
29	7	2	1	2
30	6	3	2	1
30	9	2	2	1
30	7	2	1	1
31	6	3	2	1
31	9	2	2	1
31	7	3	1	1
32	6	3	2	1
32	9	3	2	1
32	7	2	1	2
33	6	3	1	1
33	9	2	2	2
33	7	2	1	2
34	6	2	1	2
34	9	1	2	1
34	7	2	1	2
35	6	1	1	2
35	9	3	1	1
35	7	1	2	2
36	6	4	2	1
36	9	3	2	1
36	7	1	2	2
37	6	5	2	1
37	9	5	1	1
37	7	3	1	1
38	10	2	1	1
38	6	3	2	1
38	7	1	2	2
39	10	2	1	2
39	6	3	1	1
39	7	1	2	2
40	10	2	2	2
40	6	2	2	2
40	7	1	1	2
41	10	2	2	1
41	6	3	2	1
41	7	2	2	2
44	10	4	2	1
44	6	4	2	1
44	7	3	1	1
45	10	2	1	2
45	6	4	1	1
45	7	3	1	1
46	10	3	2	1
46	6	3	1	1
46	7	3	1	1
47	10	1	2	1
47	6	3	1	2
47	7	1	2	2
48	10	3	2	1
48	6	4	2	1
48	7	3	1	1
49	10	5	2	1
49	6	3	2	1
49	7	3	1	1
50	10	4	2	1
50	6	4	2	1
50	7	4	1	1
51	10	3	2	1
51	6	3	2	1
51	7	4	1	1
52	10	5	2	1
52	6	2	2	2
52	7	3	1	1
